"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YLR325C",373.813858910095,1.51104075907266,0.477316744091733,3.16569820308308,0.00154711219716128,0.0376682003054683
"YDL208W",84.6826030539847,1.5467816053988,0.490110078066189,3.15598816392816,0.00159955351277029,0.0384710822855198
"YHR104W",228.654819685847,-1.30218793013978,0.412825929028576,-3.15432689318708,0.00160868782828713,0.0384710822855198
"YML042W",58.6637129182588,-1.56892826191165,0.497307773505305,-3.15484363104354,0.00160584147007342,0.0384710822855198
"YBR191W",766.491646182325,1.51052128495162,0.480336398098899,3.14471543470376,0.00166248454599795,0.0386314704376328
"YDL198C",110.023731725991,-2.07348192090803,0.659691821733194,-3.14310690628302,0.00167164774997583,0.0386314704376328
"YHL001W",265.198102562994,1.5675089721319,0.497784171866878,3.14897311068198,0.00163845270453105,0.0386314704376328
"YIL052C",437.457519653061,1.47811676732609,0.469378653754012,3.14909243423057,0.00163778382837169,0.0386314704376328
"YMR229C",141.725515229466,1.54956843808468,0.49266230542753,3.14529530880177,0.00165919256212042,0.0386314704376328
"YPR043W",771.221207008768,1.39187744704676,0.442245711292557,3.14729439202181,0.00164788955902808,0.0386314704376328
"YPR102C",658.262500618215,1.4940961963245,0.475371552662388,3.14300716556681,0.0016722174637849,0.0386314704376328
"YHR021C",374.460783420984,1.46440577340181,0.466162208490135,3.14140817666217,0.00168137522593726,0.038655385025292
"YBR169C",335.928043824671,-1.2510943111407,0.3986371495393,-3.13842880069401,0.00169856194635924,0.0388627706861712
"YDR324C",41.5064381239796,1.77269037304411,0.565433570592285,3.13509926760669,0.00171795967126787,0.0389322384550657
"YLR129W",51.2486295888084,1.5654724939453,0.499230844360617,3.13576877636689,0.00171404285240839,0.0389322384550657
"YDL060W",50.9624337880772,1.56335129769364,0.501703031582824,3.11608899942546,0.00183266952032768,0.0405361447818712
"YDR343C",4537.37171945244,-1.20048951035234,0.384829075216928,-3.11953952459446,0.00181133957842453,0.0405361447818712
"YJR094W-A",335.253809812533,1.54494631338448,0.496098642982744,3.11419177463506,0.00184449560430053,0.0405361447818712
"YJR123W",2143.58336165074,1.47437216792489,0.473515130748642,3.11367488002731,0.00184772972590038,0.0405361447818712
"YLR303W",257.132618532565,-4.42858426712956,1.42234738422355,-3.11357430417541,0.00184835961707629,0.0405361447818712
"YNL178W",1610.92724429156,1.49148806837889,0.478504868159602,3.1169757459634,0.00182716603764307,0.0405361447818712
"YNL134C",105.460309944474,-1.37797329417572,0.442241234367903,-3.11588605288075,0.00183393122301582,0.0405361447818712
