"","logFC","logCPM","PValue","FDR"
"YKL078W",2.11088862689945,4.16211212784791,0.000153187987396104,0.00352062436231488
"YKL099C",1.43514004899753,5.05411970840206,0.000155091444747572,0.00354873713705299
"YIL110W",1.46686021046014,5.34677955626944,0.000156596690983228,0.00355855522420553
"YIL117C",1.18275659862331,6.07155158066374,0.000156884742489414,0.00355855522420553
"YFR017C",-1.0980464797479,7.77569960858424,0.000163835506938011,0.00368933004445219
"YGL208W",-1.51443158157713,5.67501550485605,0.000164064514148535,0.00368933004445219
"YPL123C",-1.06366253252079,6.64489629289627,0.000166389725384328,0.00370471579565117
"YPL198W",1.64668106078841,9.10738334604466,0.000166647414619443,0.00370471579565117
"YOL082W",-1.25328982730489,7.11049060653594,0.00016755738938876,0.00370471579565117
"YBR084W",1.52895283665037,8.25878659271841,0.000167589213680981,0.00370471579565117
"YJL191W",1.32913785681449,7.65915424880548,0.000171334362057263,0.00377152475465292
"YKL087C",-1.13605785293066,6.45944333929955,0.000178587553895445,0.0039146691961031
"YBR115C",-1.6521015808841,8.56079779185435,0.000181300676417497,0.00395751309150661
"YNL141W",1.4099229741424,5.26832872761751,0.000183549725688718,0.00398991216215851
"YER126C",1.14033916136173,5.76915360860572,0.000184523878531955,0.00399444429170627
"YLR299W",-1.05019690335842,7.44007318473563,0.000187747915274794,0.00404744162805206
"YPR010C",1.59076602710525,8.09705787076527,0.000191745153870047,0.00411660274790138
"YAL019W",0.991728950690949,6.52243465189034,0.000194341557788102,0.00415524552041201
"YGL135W",1.72408147915159,10.4807730904576,0.000200405943709238,0.00426741962584121
"YOR095C",1.8162395449059,5.33346566893151,0.000213658893551308,0.00453113190104542
"YCL049C",-1.09375595454366,6.08424190492259,0.000218441710348479,0.00460875963320913
"YIR012W",1.41491046886775,6.92668630708746,0.00021936272506957,0.00460875963320913
"YER004W",-1.08091145320775,6.99745253777498,0.000219969551211247,0.00460875963320913
"YBL024W",1.46326130038965,6.68473896267216,0.000221409666480262,0.00462037692011011
"YDR091C",1.07917752159288,7.46410958307911,0.000227420944487072,0.00472691261907991
"YLR388W",1.45652349453589,7.72996649348239,0.000235819826695839,0.00488203188838171
"YNL239W",-1.31365443326594,7.66530182070121,0.000237236596201546,0.00488780316796302
"YMR229C",1.55295768069308,7.57249703919865,0.000237972398823578,0.00488780316796302
"YPR127W",-1.24291938168506,5.97089733192218,0.000243479601990004,0.0049813062101249
"YDR412W",1.23053105034219,5.42223054821798,0.000247108586554942,0.00503580271897318
"YIR026C",1.2484843592647,5.91919379316884,0.000253964329413,0.00515537706827868
"YDR144C",1.38295252013686,5.29876329200902,0.00025640455657279,0.00517391711672975
"YOR207C",0.960616610361189,7.05103863575824,0.000256861133454668,0.00517391711672975
"YBR079C",1.47761513749816,8.67844040003318,0.000260194226059544,0.00522089722058709
"YIL136W",-1.49220930482088,9.6305899503824,0.00026887313277503,0.00537437215972158
"YOL126C",-1.0156978251786,7.12552289867945,0.00027164700024783,0.00540909313088903
"YBR187W",0.977474432558345,6.88810835126327,0.000285181816919375,0.00565700965349194
"YBL015W",-1.40157507474399,8.9683560305331,0.000290728168505761,0.00574518505717634
"YJL122W",2.10835890574153,4.16388793547775,0.000292290297238183,0.00575425841770416
"YOL124C",2.01542561673001,4.99577538693828,0.000297954648842591,0.00584371956019472
"YMR195W",1.23908865249602,5.86913048329561,0.000310303818168783,0.00605089562508042
"YJL163C",-1.11063321017317,6.18098057174486,0.000310837651432155,0.00605089562508042
"YPR184W",-1.56888309736576,9.94869682173094,0.000316713712018968,0.00614236221413738
"YGR205W",-1.11146179662891,6.68197173807017,0.00031896656354047,0.00616067238915424
"YLR448W",1.72605156777705,9.08259394545943,0.000320019593149473,0.00616067238915424
"YDR178W",-1.12947495980648,7.87647271903665,0.000325070287623084,0.00623489592106482
"YER091C",-2.12705596206347,9.61958956604186,0.000328644565609001,0.00628036153400058
"YKL192C",-0.986555619468069,7.06758040709916,0.000331048473796019,0.00630321126932055
"YMR107W",-2.35990354119635,3.96526648102519,0.000338765430492709,0.00642668818501986
"YJR109C",-2.95262083102647,8.0877238489285,0.000340423292263753,0.00643474027442028
"YPR190C",1.0381166730022,6.15593160486486,0.000346968056389956,0.00652428374800737
"YBL064C",-1.23945184148091,8.11221905589578,0.000347661660330851,0.00652428374800737
"YHL011C",1.19963563402097,7.02795873778983,0.000351373314267585,0.00657030315603581
"YDR500C",1.53259647059768,9.39184853977761,0.00035677127835445,0.0066474134256256
"YOL041C",1.66997459544291,6.12803494551717,0.000373952896533799,0.00693542980841744
"YCR091W",-0.941642378390738,7.36871993356441,0.000374888097752294,0.00693542980841744
"YJL102W",-0.926286393845525,7.16526655851693,0.000378646708191137,0.00695163136775346
"YLR435W",2.0717405345541,4.27439712528112,0.000378909628638278,0.00695163136775346
"YFL021W",-1.00303483555723,7.13186845241944,0.000380330601384448,0.00695163136775346
"YLR149C",-1.1175746535631,7.97652808990866,0.000381093841513799,0.00695163136775346
"YDR258C",-1.38842967703044,10.0777622677299,0.000383386685829795,0.00696908829259247
"YEL022W",0.952071765531764,6.80145577620327,0.000390253036318134,0.00704657919161612
"YER082C",1.09722320411105,6.45840711742706,0.000390351042050424,0.00704657919161612
"YLR449W",1.4186977506364,7.2105490374871,0.000395265403768172,0.00711068831537431
"YIL087C",-1.04966110846318,6.6155320146972,0.000400600271183271,0.00718189558337843
"YMR271C",-1.56524847363587,5.34000099190204,0.000410033115946089,0.00732583139003681
"YJL153C",-2.04531379619916,6.6965457283693,0.000412596586074765,0.00734647231929027
"YMR131C",1.47632033229619,7.32136686059252,0.000414130825775859,0.0073487092451451
"YDL051W",1.4481710293513,6.72564253074365,0.000417097134860961,0.00737625678837163
"YKL091C",-1.03821242553969,7.59185657874736,0.000421039691751474,0.00742082456711973
